display_id,kind,track_id,label,start_x,start_y,end_x,end_y,avg_confidence,first_timestamp,last_timestamp
person_ID_1,FLUSH,17,person,547,405,547,406,0.5636,2026-07-20 13:25:27.787,2026-07-20 13:25:40.850
person_ID_2,FLUSH,20,person,1257,630,10,545,0.8004,2026-07-20 13:25:36.520,2026-07-20 13:25:43.750
person_ID_4,FLUSH,65,person,68,644,51,635,0.8246,2026-07-20 13:26:34.587,2026-07-20 13:26:35.820
person_ID_5,FLUSH,71,person,35,578,32,555,0.3873,2026-07-20 13:26:51.819,2026-07-20 13:26:52.353
person_ID_6,FLUSH,76,person,36,649,17,640,0.8623,2026-07-20 13:26:51.888,2026-07-20 13:26:58.592
person_ID_7,FLUSH,92,person,29,679,263,700,0.6278,2026-07-20 13:27:00.321,2026-07-20 13:27:07.053
person_ID_8,FLUSH,106,person,92,385,108,403,0.4785,2026-07-20 13:27:23.053,2026-07-20 13:27:24.456
person_ID_9,FLUSH,113,person,93,402,90,400,0.3604,2026-07-20 13:27:28.655,2026-07-20 13:27:29.356
person_ID_10,FLUSH,115,person,92,400,109,396,0.4515,2026-07-20 13:27:30.390,2026-07-20 13:27:34.888
person_ID_11,FLUSH,120,person,110,395,79,370,0.4004,2026-07-20 13:27:35.022,2026-07-20 13:27:37.522
person_ID_12,FLUSH,130,person,67,374,67,374,0.3030,2026-07-20 13:28:01.221,2026-07-20 13:28:01.290
person_ID_14,FLUSH,132,person,24,536,24,536,0.3639,2026-07-20 13:28:09.022,2026-07-20 13:28:09.252
person_ID_3,FLUSH,28,person,547,403,547,403,0.4766,2026-07-20 13:25:41.051,2026-07-20 13:28:11.723
person_ID_15,FLUSH,136,person,157,696,226,694,0.4531,2026-07-20 13:28:09.325,2026-07-20 13:28:12.923
person_ID_13,FLUSH,119,person,41,640,1216,640,0.8478,2026-07-20 13:28:08.753,2026-07-20 13:28:15.023
person_ID_16,FLUSH,147,person,548,403,548,403,0.4019,2026-07-20 13:28:11.891,2026-07-20 13:28:58.070
person_ID_17,FLUSH,176,person,547,403,547,403,0.3279,2026-07-20 13:28:58.474,2026-07-20 13:28:58.957
person_ID_18,FLUSH,177,person,119,679,93,680,0.4906,2026-07-20 13:28:58.885,2026-07-20 13:28:59.681
person_ID_19,FLUSH,180,person,548,403,548,403,0.3742,2026-07-20 13:29:05.471,2026-07-20 13:29:06.668
person_ID_20,FLUSH,182,person,548,403,547,403,0.3982,2026-07-20 13:29:07.776,2026-07-20 13:29:10.370
person_ID_21,FLUSH,183,person,548,403,547,402,0.3954,2026-07-20 13:29:11.738,2026-07-20 13:29:12.564
person_ID_22,FLUSH,184,person,547,403,548,403,0.3173,2026-07-20 13:29:12.929,2026-07-20 13:29:13.501
person_ID_23,FLUSH,189,person,45,693,33,701,0.4110,2026-07-20 13:29:16.439,2026-07-20 13:29:17.811
person_ID_24,FLUSH,193,person,548,403,548,404,0.4881,2026-07-20 13:29:19.498,2026-07-20 13:29:20.412
person_ID_25,FLUSH,196,person,1256,556,1256,556,0.3301,2026-07-20 13:29:21.303,2026-07-20 13:29:21.768
person_ID_26,FLUSH,200,person,524,432,516,432,0.3876,2026-07-20 13:29:22.600,2026-07-20 13:29:23.572
person_ID_27,FLUSH,210,person,1225,558,1224,540,0.3133,2026-07-20 13:29:24.330,2026-07-20 13:29:25.041
car_ID_1,FLUSH,14,car,290,281,263,286,0.4595,2026-07-20 13:25:27.699,2026-07-20 13:29:25.072
car_ID_2,FLUSH,220,car,212,206,210,214,0.3813,2026-07-20 13:29:25.903,2026-07-20 13:29:26.478
person_ID_29,FLUSH,226,person,526,405,526,405,0.4884,2026-07-20 13:29:26.740,2026-07-20 13:29:27.201
person_ID_30,FLUSH,9,person,835,536,835,536,0.3885,2026-07-20 13:29:27.134,2026-07-20 13:29:27.236
person_ID_28,FLUSH,203,person,1108,367,1077,354,0.6528,2026-07-20 13:29:25.254,2026-07-20 13:29:27.717
person_ID_31,FLUSH,231,person,526,431,526,431,0.5276,2026-07-20 13:29:28.304,2026-07-20 13:29:28.772
car_ID_3,FLUSH,225,car,253,277,256,292,0.4295,2026-07-20 13:29:26.602,2026-07-20 13:29:29.137
car_ID_4,FLUSH,234,car,180,283,176,276,0.4325,2026-07-20 13:29:28.940,2026-07-20 13:29:30.210
person_ID_32,FLUSH,240,person,512,411,511,404,0.4183,2026-07-20 13:29:29.973,2026-07-20 13:29:30.765
car_ID_5,FLUSH,242,car,232,290,212,290,0.3837,2026-07-20 13:29:30.072,2026-07-20 13:29:33.742
person_ID_33,FLUSH,255,person,505,421,496,405,0.3715,2026-07-20 13:29:33.234,2026-07-20 13:29:34.104
motorcycle_ID_1,FLUSH,263,motorcycle,212,277,212,277,0.3452,2026-07-20 13:29:37.537,2026-07-20 13:29:37.605
person_ID_34,FLUSH,274,person,34,702,17,672,0.7377,2026-07-20 13:29:36.939,2026-07-20 13:29:39.166
person_ID_35,FLUSH,276,person,509,397,504,387,0.4220,2026-07-20 13:29:37.565,2026-07-20 13:29:39.431
motorcycle_ID_2,FLUSH,263,motorcycle,205,269,202,270,0.3119,2026-07-20 13:29:38.971,2026-07-20 13:29:39.595
car_ID_6,FLUSH,263,car,196,303,202,272,0.4082,2026-07-20 13:29:34.368,2026-07-20 13:29:40.770
person_ID_36,FLUSH,285,person,10,680,51,673,0.6416,2026-07-20 13:29:40.236,2026-07-20 13:29:40.907
car_ID_7,FLUSH,287,car,183,299,231,281,0.3684,2026-07-20 13:29:40.738,2026-07-20 13:29:42.136
person_ID_37,FLUSH,286,person,46,675,11,682,0.7242,2026-07-20 13:29:40.271,2026-07-20 13:29:43.304
person_ID_39,FLUSH,310,person,561,385,561,385,0.3137,2026-07-20 13:29:43.274,2026-07-20 13:29:43.740
car_ID_8,FLUSH,299,car,265,293,302,268,0.3974,2026-07-20 13:29:42.435,2026-07-20 13:29:43.975
person_ID_38,FLUSH,300,person,103,649,149,689,0.6752,2026-07-20 13:29:42.969,2026-07-20 13:29:44.305
car_ID_9,FLUSH,318,car,303,281,299,280,0.4328,2026-07-20 13:29:44.669,2026-07-20 13:29:45.637
person_ID_40,FLUSH,317,person,560,399,551,388,0.5219,2026-07-20 13:29:44.603,2026-07-20 13:29:45.736
person_ID_41,FLUSH,329,person,497,402,489,396,0.4460,2026-07-20 13:29:46.235,2026-07-20 13:29:46.999
person_ID_42,FLUSH,336,person,510,422,510,422,0.3565,2026-07-20 13:29:47.470,2026-07-20 13:29:47.937
