display_id,kind,track_id,label,start_x,start_y,end_x,end_y,avg_confidence,first_timestamp,last_timestamp
bicycle_ID_1,FLUSH,2,bicycle,11,442,28,444,0.4727,2026-07-26 14:12:52.317,2026-07-26 14:12:52.450
person_ID_2,FLUSH,3,person,21,432,21,432,0.5775,2026-07-26 14:12:52.517,2026-07-26 14:12:52.517
bicycle_ID_2,FLUSH,3,bicycle,41,443,81,445,0.5111,2026-07-26 14:12:52.550,2026-07-26 14:12:53.221
bicycle_ID_3,FLUSH,2,bicycle,236,429,277,428,0.4216,2026-07-26 14:12:53.580,2026-07-26 14:12:53.780
bicycle_ID_4,FLUSH,5,bicycle,337,431,525,412,0.5563,2026-07-26 14:12:54.115,2026-07-26 14:12:55.515
bicycle_ID_5,FLUSH,6,bicycle,577,406,577,406,0.3315,2026-07-26 14:12:55.379,2026-07-26 14:12:55.851
person_ID_1,FLUSH,2,person,27,435,591,394,0.5605,2026-07-26 14:12:52.482,2026-07-26 14:12:55.914
bicycle_ID_6,FLUSH,8,bicycle,688,393,740,388,0.3793,2026-07-26 14:12:56.079,2026-07-26 14:12:56.849
person_ID_3,FLUSH,7,person,634,390,830,368,0.5303,2026-07-26 14:12:55.715,2026-07-26 14:12:57.014
bicycle_ID_7,FLUSH,7,bicycle,838,368,838,368,0.3458,2026-07-26 14:12:57.079,2026-07-26 14:12:57.079
person_ID_4,FLUSH,11,person,835,367,937,357,0.4940,2026-07-26 14:12:57.079,2026-07-26 14:12:58.384
car_ID_1,FLUSH,9,car,934,414,399,475,0.7950,2026-07-26 14:12:56.379,2026-07-26 14:12:58.688
bicycle_ID_8,FLUSH,12,bicycle,344,471,344,471,0.3458,2026-07-26 14:13:09.754,2026-07-26 14:13:09.754
bicycle_ID_10,FLUSH,12,bicycle,484,430,488,432,0.6149,2026-07-26 14:13:11.180,2026-07-26 14:13:11.215
person_ID_5,FLUSH,12,person,339,463,576,401,0.4887,2026-07-26 14:13:09.786,2026-07-26 14:13:12.615
bicycle_ID_11,FLUSH,15,bicycle,878,422,896,424,0.4554,2026-07-26 14:13:14.916,2026-07-26 14:13:15.016
bicycle_ID_9,FLUSH,13,bicycle,360,474,911,424,0.6095,2026-07-26 14:13:09.918,2026-07-26 14:13:15.580
person_ID_6,FLUSH,14,person,642,403,928,414,0.5500,2026-07-26 14:13:12.851,2026-07-26 14:13:15.680
bicycle_ID_12,FLUSH,16,bicycle,10,454,135,445,0.6129,2026-07-26 14:13:17.851,2026-07-26 14:13:19.116
person_ID_8,FLUSH,18,person,275,426,275,426,0.4206,2026-07-26 14:13:19.480,2026-07-26 14:13:19.480
person_ID_7,FLUSH,17,person,19,437,226,426,0.5358,2026-07-26 14:13:18.048,2026-07-26 14:13:19.716
bicycle_ID_14,FLUSH,22,bicycle,444,419,481,414,0.4790,2026-07-26 14:13:20.382,2026-07-26 14:13:20.720
bicycle_ID_13,FLUSH,18,bicycle,195,442,593,402,0.5007,2026-07-26 14:13:19.015,2026-07-26 14:13:21.749
person_ID_10,FLUSH,23,person,194,346,195,345,0.3905,2026-07-26 14:13:20.720,2026-07-26 14:13:22.348
bicycle_ID_16,FLUSH,25,bicycle,690,390,725,388,0.4428,2026-07-26 14:13:21.981,2026-07-26 14:13:22.686
bicycle_ID_15,FLUSH,24,bicycle,642,395,910,367,0.4397,2026-07-26 14:13:21.616,2026-07-26 14:13:24.248
person_ID_9,FLUSH,20,person,300,420,949,349,0.5796,2026-07-26 14:13:19.648,2026-07-26 14:13:24.617
bicycle_ID_17,FLUSH,28,bicycle,18,459,76,452,0.4628,2026-07-26 14:14:46.562,2026-07-26 14:14:46.990
person_ID_13,FLUSH,31,person,177,438,177,438,0.3636,2026-07-26 14:14:47.523,2026-07-26 14:14:47.555
person_ID_11,FLUSH,29,person,41,485,41,485,0.6773,2026-07-26 14:14:47.262,2026-07-26 14:14:47.624
bicycle_ID_18,FLUSH,30,bicycle,11,454,31,448,0.5383,2026-07-26 14:14:47.391,2026-07-26 14:14:47.624
person_ID_12,FLUSH,28,person,101,476,106,478,0.5933,2026-07-26 14:14:47.457,2026-07-26 14:14:47.959
bicycle_ID_21,FLUSH,32,bicycle,81,439,135,437,0.3588,2026-07-26 14:14:47.959,2026-07-26 14:14:48.294
bicycle_ID_20,FLUSH,31,bicycle,228,439,254,444,0.3308,2026-07-26 14:14:47.756,2026-07-26 14:14:48.397
bicycle_ID_19,FLUSH,29,bicycle,36,450,92,438,0.3759,2026-07-26 14:14:47.656,2026-07-26 14:14:48.526
person_ID_15,FLUSH,33,person,384,435,384,435,0.3529,2026-07-26 14:14:48.623,2026-07-26 14:14:48.623
bicycle_ID_23,FLUSH,33,bicycle,403,443,457,435,0.4385,2026-07-26 14:14:48.723,2026-07-26 14:14:48.991
person_ID_14,FLUSH,32,person,26,435,209,428,0.4671,2026-07-26 14:14:47.691,2026-07-26 14:14:49.254
bicycle_ID_24,FLUSH,36,bicycle,477,431,495,430,0.3101,2026-07-26 14:14:49.120,2026-07-26 14:14:49.652
bicycle_ID_22,FLUSH,34,bicycle,188,445,511,416,0.4853,2026-07-26 14:14:48.623,2026-07-26 14:14:50.358
bicycle_ID_27,FLUSH,33,bicycle,652,414,658,415,0.4690,2026-07-26 14:14:50.090,2026-07-26 14:14:50.589
person_ID_17,FLUSH,37,person,320,423,583,394,0.4756,2026-07-26 14:14:49.388,2026-07-26 14:14:51.291
person_ID_18,FLUSH,41,person,756,400,812,392,0.4968,2026-07-26 14:14:50.753,2026-07-26 14:14:51.388
bicycle_ID_29,FLUSH,43,bicycle,847,394,855,395,0.3472,2026-07-26 14:14:51.388,2026-07-26 14:14:51.521
bicycle_ID_26,FLUSH,39,bicycle,613,420,907,367,0.4529,2026-07-26 14:14:49.888,2026-07-26 14:14:52.226
person_ID_21,FLUSH,44,person,902,384,902,384,0.3743,2026-07-26 14:14:51.825,2026-07-26 14:14:52.293
person_ID_20,FLUSH,39,person,875,388,918,362,0.4362,2026-07-26 14:14:51.553,2026-07-26 14:14:52.325
bicycle_ID_28,FLUSH,41,bicycle,733,408,869,371,0.3188,2026-07-26 14:14:50.654,2026-07-26 14:14:52.355
bicycle_ID_30,FLUSH,45,bicycle,735,389,735,389,0.3529,2026-07-26 14:14:51.889,2026-07-26 14:14:52.355
person_ID_16,FLUSH,35,person,429,423,907,357,0.4286,2026-07-26 14:14:48.890,2026-07-26 14:14:52.691
bicycle_ID_25,FLUSH,38,bicycle,421,428,870,370,0.4649,2026-07-26 14:14:49.888,2026-07-26 14:14:52.991
bicycle_ID_31,FLUSH,46,bicycle,816,375,816,375,0.4456,2026-07-26 14:14:52.553,2026-07-26 14:14:53.023
person_ID_19,FLUSH,42,person,652,388,915,350,0.4864,2026-07-26 14:14:51.291,2026-07-26 14:14:53.858
car_ID_2,FLUSH,47,car,67,489,943,386,0.7541,2026-07-26 14:15:12.725,2026-07-26 14:15:16.492
person_ID_22,FLUSH,49,person,53,431,53,431,0.4385,2026-07-26 14:15:32.759,2026-07-26 14:15:33.228
person_ID_23,FLUSH,48,person,195,424,201,424,0.4222,2026-07-26 14:15:33.658,2026-07-26 14:15:33.860
person_ID_24,FLUSH,51,person,304,417,304,417,0.4171,2026-07-26 14:15:34.429,2026-07-26 14:15:34.894
bicycle_ID_33,FLUSH,52,bicycle,408,417,417,416,0.4610,2026-07-26 14:15:35.055,2026-07-26 14:15:35.123
person_ID_25,FLUSH,52,person,419,411,460,408,0.5341,2026-07-26 14:15:35.155,2026-07-26 14:15:35.897
person_ID_26,FLUSH,53,person,536,397,577,396,0.3908,2026-07-26 14:15:35.991,2026-07-26 14:15:36.426
bicycle_ID_32,FLUSH,48,bicycle,10,444,569,405,0.4840,2026-07-26 14:15:32.193,2026-07-26 14:15:36.623
bicycle_ID_35,FLUSH,54,bicycle,793,373,793,373,0.5276,2026-07-26 14:15:38.027,2026-07-26 14:15:38.027
bicycle_ID_34,FLUSH,53,bicycle,609,395,924,358,0.4261,2026-07-26 14:15:36.457,2026-07-26 14:15:39.391
person_ID_27,FLUSH,54,person,646,386,900,359,0.4995,2026-07-26 14:15:36.791,2026-07-26 14:15:39.562
person_ID_28,FLUSH,53,person,930,356,930,356,0.3779,2026-07-26 14:15:39.423,2026-07-26 14:15:39.895
bicycle_ID_36,FLUSH,55,bicycle,917,449,543,510,0.4697,2026-07-26 14:15:40.927,2026-07-26 14:15:42.856
person_ID_29,FLUSH,56,person,928,421,455,497,0.6377,2026-07-26 14:15:40.927,2026-07-26 14:15:43.555
bicycle_ID_37,FLUSH,57,bicycle,906,452,446,522,0.6183,2026-07-26 14:15:41.094,2026-07-26 14:15:43.591
car_ID_3,FLUSH,58,car,75,469,947,360,0.7432,2026-07-26 14:15:52.030,2026-07-26 14:15:55.624
car_ID_4,FLUSH,59,car,930,417,363,494,0.8819,2026-07-26 14:15:59.828,2026-07-26 14:16:01.859
car_ID_5,FLUSH,60,car,66,502,34,502,0.4477,2026-07-26 14:16:02.159,2026-07-26 14:16:02.759
person_ID_30,FLUSH,61,person,911,426,832,434,0.4109,2026-07-26 14:16:08.128,2026-07-26 14:16:08.501
bicycle_ID_38,FLUSH,62,bicycle,906,433,788,447,0.4583,2026-07-26 14:16:08.162,2026-07-26 14:16:08.628
person_ID_31,FLUSH,62,person,770,445,687,454,0.5158,2026-07-26 14:16:08.698,2026-07-26 14:16:09.468
person_ID_32,FLUSH,63,person,560,470,517,480,0.3171,2026-07-26 14:16:09.428,2026-07-26 14:16:09.992
bicycle_ID_39,FLUSH,61,bicycle,779,449,446,495,0.5075,2026-07-26 14:16:08.664,2026-07-26 14:16:10.192
bicycle_ID_40,FLUSH,65,bicycle,924,414,646,466,0.5772,2026-07-26 14:16:23.469,2026-07-26 14:16:24.732
bicycle_ID_42,FLUSH,67,bicycle,555,480,441,496,0.4858,2026-07-26 14:16:25.068,2026-07-26 14:16:25.468
person_ID_33,FLUSH,64,person,925,407,448,475,0.6227,2026-07-26 14:16:23.469,2026-07-26 14:16:25.861
