display_id,kind,track_id,label,start_x,start_y,end_x,end_y,avg_confidence,first_timestamp,last_timestamp
bicycle_ID_1,FLUSH,2,bicycle,166,420,174,425,0.4009,2026-07-26 09:32:06.766,2026-07-26 09:32:07.296
person_ID_1,FLUSH,1,person,121,403,225,426,0.4876,2026-07-26 09:32:06.168,2026-07-26 09:32:07.864
bicycle_ID_4,FLUSH,7,bicycle,403,429,403,429,0.3921,2026-07-26 09:32:08.632,2026-07-26 09:32:08.632
bicycle_ID_3,FLUSH,6,bicycle,343,434,430,426,0.4201,2026-07-26 09:32:08.230,2026-07-26 09:32:08.832
person_ID_2,FLUSH,4,person,32,436,226,431,0.4484,2026-07-26 09:32:07.561,2026-07-26 09:32:09.561
person_ID_3,FLUSH,5,person,285,428,589,397,0.3891,2026-07-26 09:32:07.897,2026-07-26 09:32:10.366
bicycle_ID_5,FLUSH,10,bicycle,642,399,642,399,0.3101,2026-07-26 09:32:10.398,2026-07-26 09:32:10.430
bicycle_ID_6,FLUSH,11,bicycle,502,423,569,418,0.4845,2026-07-26 09:32:11.029,2026-07-26 09:32:12.000
person_ID_6,FLUSH,6,person,805,376,815,374,0.3594,2026-07-26 09:32:11.768,2026-07-26 09:32:12.100
bicycle_ID_7,FLUSH,12,bicycle,618,412,625,412,0.4683,2026-07-26 09:32:11.967,2026-07-26 09:32:12.473
person_ID_5,FLUSH,10,person,658,389,886,366,0.4171,2026-07-26 09:32:10.462,2026-07-26 09:32:12.601
bicycle_ID_8,FLUSH,6,bicycle,838,376,863,373,0.3393,2026-07-26 09:32:12.133,2026-07-26 09:32:12.862
bicycle_ID_9,FLUSH,10,bicycle,854,372,931,367,0.3871,2026-07-26 09:32:12.303,2026-07-26 09:32:13.196
person_ID_7,FLUSH,13,person,902,361,902,361,0.4991,2026-07-26 09:32:12.798,2026-07-26 09:32:13.264
person_ID_8,FLUSH,14,person,932,359,938,360,0.3359,2026-07-26 09:32:13.161,2026-07-26 09:32:13.698
bicycle_ID_2,FLUSH,3,bicycle,19,459,901,374,0.5612,2026-07-26 09:32:07.229,2026-07-26 09:32:14.730
bicycle_ID_10,FLUSH,15,bicycle,789,393,931,371,0.4383,2026-07-26 09:32:13.529,2026-07-26 09:32:15.161
person_ID_4,FLUSH,8,person,270,421,940,353,0.5623,2026-07-26 09:32:09.431,2026-07-26 09:32:15.629
car_ID_1,FLUSH,16,car,940,408,362,488,0.8532,2026-07-26 09:32:58.702,2026-07-26 09:33:00.567
car_ID_2,FLUSH,17,car,29,504,29,504,0.3636,2026-07-26 09:33:01.664,2026-07-26 09:33:02.131
bus_ID_1,FLUSH,19,bus,791,429,760,434,0.5002,2026-07-26 09:33:27.675,2026-07-26 09:33:27.738
bus_ID_2,FLUSH,18,bus,736,439,736,439,0.4690,2026-07-26 09:33:27.804,2026-07-26 09:33:27.804
car_ID_4,FLUSH,19,car,747,436,735,438,0.8326,2026-07-26 09:33:27.769,2026-07-26 09:33:28.267
car_ID_5,FLUSH,20,car,515,472,498,472,0.4033,2026-07-26 09:33:28.334,2026-07-26 09:33:28.366
bus_ID_3,FLUSH,20,bus,483,472,483,472,0.3039,2026-07-26 09:33:28.402,2026-07-26 09:33:28.566
truck_ID_2,FLUSH,18,truck,514,472,400,482,0.5257,2026-07-26 09:33:28.334,2026-07-26 09:33:28.566
truck_ID_1,FLUSH,20,truck,572,465,387,485,0.3452,2026-07-26 09:33:28.236,2026-07-26 09:33:29.065
car_ID_3,FLUSH,18,car,939,398,333,479,0.6969,2026-07-26 09:33:26.907,2026-07-26 09:33:29.204
