display_id,kind,track_id,label,start_x,start_y,end_x,end_y,avg_confidence,first_timestamp,last_timestamp
person_ID_1,FLUSH,1,person,944,400,659,459,0.6220,2026-08-06 16:14:46.930,2026-08-06 16:14:47.727
person_ID_2,FLUSH,2,person,644,455,191,264,0.7635,2026-08-06 16:14:49.005,2026-08-06 16:14:50.920
person_ID_3,FLUSH,3,person,179,266,353,275,0.6664,2026-08-06 16:14:52.040,2026-08-06 16:14:52.556
person_ID_4,FLUSH,5,person,624,289,934,395,0.7750,2026-08-06 16:14:52.684,2026-08-06 16:14:53.712
person_ID_5,FLUSH,6,person,968,421,726,404,0.7383,2026-08-06 16:14:56.148,2026-08-06 16:14:59.348
person_ID_6,FLUSH,7,person,801,428,960,409,0.7368,2026-08-06 16:15:00.068,2026-08-06 16:15:01.539
person_ID_7,FLUSH,8,person,980,426,657,465,0.6735,2026-08-06 16:15:03.374,2026-08-06 16:15:04.051
person_ID_8,FLUSH,9,person,686,449,1009,418,0.6986,2026-08-06 16:15:05.773,2026-08-06 16:15:06.446
person_ID_9,FLUSH,10,person,984,371,158,185,0.7787,2026-08-06 16:15:08.446,2026-08-06 16:15:10.125
person_ID_10,FLUSH,11,person,49,127,114,188,0.6053,2026-08-06 16:15:11.036,2026-08-06 16:15:11.123
person_ID_11,FLUSH,13,person,853,281,646,444,0.6332,2026-08-06 16:15:12.118,2026-08-06 16:15:13.351
person_ID_12,FLUSH,14,person,653,470,655,469,0.6139,2026-08-06 16:15:14.601,2026-08-06 16:15:14.906
person_ID_13,FLUSH,15,person,756,454,1027,385,0.7340,2026-08-06 16:15:15.031,2026-08-06 16:15:16.024
