display_id,kind,track_id,label,start_x,start_y,end_x,end_y,avg_confidence,first_timestamp,last_timestamp
motorcycle_ID_1,FLUSH,2,motorcycle,901,477,669,506,0.6272,2026-08-05 11:15:37.002,2026-08-05 11:15:38.105
person_ID_1,FLUSH,1,person,951,444,475,483,0.6697,2026-08-05 11:15:36.771,2026-08-05 11:15:39.376
person_ID_2,FLUSH,3,person,207,409,207,409,0.5347,2026-08-05 11:15:56.102,2026-08-05 11:15:56.199
bicycle_ID_1,FLUSH,4,bicycle,309,420,342,422,0.6404,2026-08-05 11:15:56.672,2026-08-05 11:15:56.842
person_ID_3,FLUSH,7,person,853,378,853,378,0.5204,2026-08-05 11:16:00.473,2026-08-05 11:16:00.473
bicycle_ID_2,FLUSH,12,bicycle,689,423,711,427,0.5623,2026-08-05 11:16:10.508,2026-08-05 11:16:10.677
motorcycle_ID_2,FLUSH,12,motorcycle,736,425,893,421,0.5490,2026-08-05 11:16:10.905,2026-08-05 11:16:12.444
motorcycle_ID_3,FLUSH,15,motorcycle,781,405,849,395,0.5525,2026-08-05 11:16:12.047,2026-08-05 11:16:12.775
person_ID_4,FLUSH,13,person,693,414,940,399,0.5907,2026-08-05 11:16:10.615,2026-08-05 11:16:12.954
person_ID_5,FLUSH,14,person,743,387,883,376,0.5208,2026-08-05 11:16:11.669,2026-08-05 11:16:13.183
car_ID_1,FLUSH,13,car,972,403,972,403,0.5169,2026-08-05 11:16:13.392,2026-08-05 11:16:13.854
motorcycle_ID_4,FLUSH,19,motorcycle,816,481,742,484,0.5967,2026-08-05 11:16:17.281,2026-08-05 11:16:17.669
motorcycle_ID_5,FLUSH,18,motorcycle,766,482,748,484,0.7388,2026-08-05 11:16:17.544,2026-08-05 11:16:17.669
bicycle_ID_4,FLUSH,19,bicycle,798,481,728,487,0.5741,2026-08-05 11:16:17.381,2026-08-05 11:16:18.205
person_ID_6,FLUSH,17,person,943,445,489,466,0.6865,2026-08-05 11:16:16.567,2026-08-05 11:16:18.871
bicycle_ID_3,FLUSH,18,bicycle,935,465,527,493,0.6935,2026-08-05 11:16:16.567,2026-08-05 11:16:19.173
car_ID_4,FLUSH,23,car,810,462,792,461,0.6716,2026-08-05 11:16:36.899,2026-08-05 11:16:36.935
car_ID_3,FLUSH,22,car,963,442,772,465,0.7815,2026-08-05 11:16:35.930,2026-08-05 11:16:37.234
car_ID_5,FLUSH,24,car,176,438,186,437,0.6190,2026-08-05 11:16:37.768,2026-08-05 11:16:37.805
