timestamp,display_id,label,direction,is_transition
2026-07-28 01:05:34.391,person_ID_167,person,Eingang (kein Wechsel),False
2026-07-28 01:05:34.391,person_ID_169,person,Eingang->Ausgang,True
2026-07-28 01:05:34.390,person_ID_177,person,Eingang->Ausgang,True
2026-07-28 01:05:34.390,person_ID_187,person,Eingang (kein Wechsel),False
2026-07-28 01:05:34.390,person_ID_191,person,Eingang (kein Wechsel),False
2026-07-28 01:05:34.390,person_ID_196,person,Eingang (kein Wechsel),False
2026-07-28 01:05:34.390,person_ID_198,person,Eingang (kein Wechsel),False
2026-07-28 01:05:34.392,person_ID_211,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:34.392,person_ID_212,person,Eingang (kein Wechsel),False
2026-07-28 01:05:35.031,person_ID_215,person,Eingang (kein Wechsel),False
2026-07-28 01:05:35.094,car_ID_68,car,Eingang (kein Wechsel),False
2026-07-28 01:05:35.162,person_ID_217,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:35.162,person_ID_220,person,Eingang (kein Wechsel),False
2026-07-28 01:05:35.202,person_ID_219,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:35.331,car_ID_69,car,Eingang (kein Wechsel),False
2026-07-28 01:05:35.390,person_ID_214,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:35.395,person_ID_216,person,Eingang (kein Wechsel),False
2026-07-28 01:05:35.395,person_ID_218,person,Eingang (kein Wechsel),False
2026-07-28 01:05:36.301,person_ID_232,person,Eingang (kein Wechsel),False
2026-07-28 01:05:36.303,person_ID_234,person,Eingang (kein Wechsel),False
2026-07-28 01:05:36.598,person_ID_230,person,Eingang (kein Wechsel),False
2026-07-28 01:05:36.636,person_ID_233,person,Eingang (kein Wechsel),False
2026-07-28 01:05:36.766,person_ID_222,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:36.765,person_ID_226,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:36.765,person_ID_227,person,Eingang (kein Wechsel),False
2026-07-28 01:05:36.765,person_ID_228,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:36.766,person_ID_229,person,Eingang (kein Wechsel),False
2026-07-28 01:05:36.766,person_ID_231,person,Eingang (kein Wechsel),False
2026-07-28 01:05:36.892,person_ID_235,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:36.930,person_ID_237,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:37.092,person_ID_236,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:37.334,person_ID_225,person,Ausgang (kein Wechsel),False
