display_id,kind,track_id,label,start_x,start_y,end_x,end_y,avg_confidence,first_timestamp,last_timestamp
bicycle_ID_2,FLUSH,2,bicycle,762,476,762,476,0.5632,2026-07-19 12:07:34.560,2026-07-19 12:07:34.897
bicycle_ID_3,FLUSH,3,bicycle,853,479,882,468,0.4363,2026-07-19 12:07:34.878,2026-07-19 12:07:34.988
person_ID_1,FLUSH,1,person,759,465,867,456,0.3893,2026-07-19 12:07:34.519,2026-07-19 12:07:35.027
bicycle_ID_1,FLUSH,1,bicycle,758,468,1011,459,0.5075,2026-07-19 12:07:34.409,2026-07-19 12:07:35.638
person_ID_2,FLUSH,3,person,890,459,1012,444,0.5312,2026-07-19 12:07:35.026,2026-07-19 12:07:36.098
car_ID_1,FINALIZE,4,car,1026,492,519,557,0.7292,2026-07-19 12:08:00.877,2026-07-19 12:08:02.839
