display_id,kind,track_id,label,start_x,start_y,end_x,end_y,avg_confidence,first_timestamp,last_timestamp
motorcycle_ID_1,FLUSH,2,motorcycle,937,481,923,484,0.5953,2026-08-04 09:39:02.145,2026-08-04 09:39:02.210
bicycle_ID_1,FLUSH,2,bicycle,930,485,476,532,0.7401,2026-08-04 09:39:02.179,2026-08-04 09:39:03.736
person_ID_1,FLUSH,1,person,941,466,476,511,0.5987,2026-08-04 09:39:02.145,2026-08-04 09:39:03.771
car_ID_1,FLUSH,3,car,972,404,946,416,0.6671,2026-08-04 09:39:06.970,2026-08-04 09:39:07.208
truck_ID_1,FLUSH,4,truck,947,373,947,373,0.5215,2026-08-04 09:39:07.243,2026-08-04 09:39:07.243
bus_ID_1,FLUSH,3,bus,914,428,329,459,0.8255,2026-08-04 09:39:07.508,2026-08-04 09:39:11.133
bus_ID_2,FLUSH,7,bus,91,454,91,454,0.5215,2026-08-04 09:39:12.168,2026-08-04 09:39:12.168
car_ID_2,FLUSH,6,car,949,443,509,491,0.8937,2026-08-04 09:39:11.133,2026-08-04 09:39:13.032
bicycle_ID_2,FLUSH,8,bicycle,938,487,467,543,0.8055,2026-08-04 09:40:00.973,2026-08-04 09:40:03.270
person_ID_2,FLUSH,9,person,948,467,454,519,0.6942,2026-08-04 09:40:01.006,2026-08-04 09:40:03.803
person_ID_3,FLUSH,10,person,948,454,455,500,0.6954,2026-08-04 09:40:03.370,2026-08-04 09:40:05.136
bicycle_ID_3,FLUSH,11,bicycle,948,468,454,520,0.6766,2026-08-04 09:40:03.335,2026-08-04 09:40:05.604
car_ID_4,FLUSH,13,car,949,447,426,500,0.8863,2026-08-04 09:40:48.477,2026-08-04 09:40:50.079
car_ID_3,FLUSH,12,car,38,444,965,400,0.8369,2026-08-04 09:40:48.208,2026-08-04 09:40:51.673
bicycle_ID_4,FLUSH,15,bicycle,50,418,105,419,0.5490,2026-08-04 09:41:10.877,2026-08-04 09:41:11.277
bicycle_ID_5,FLUSH,16,bicycle,74,420,149,422,0.5591,2026-08-04 09:41:11.110,2026-08-04 09:41:11.577
motorcycle_ID_3,FLUSH,16,motorcycle,155,419,155,419,0.5739,2026-08-04 09:41:11.610,2026-08-04 09:41:11.610
car_ID_5,FLUSH,17,car,27,439,43,444,0.6659,2026-08-04 09:41:11.778,2026-08-04 09:41:11.878
motorcycle_ID_2,FLUSH,15,motorcycle,86,419,200,421,0.5794,2026-08-04 09:41:11.145,2026-08-04 09:41:12.406
person_ID_4,FLUSH,14,person,30,408,222,409,0.6024,2026-08-04 09:41:10.777,2026-08-04 09:41:12.575
person_ID_6,FLUSH,19,person,178,412,178,412,0.5917,2026-08-04 09:41:13.274,2026-08-04 09:41:13.274
person_ID_5,FLUSH,18,person,178,416,231,412,0.5311,2026-08-04 09:41:13.242,2026-08-04 09:41:13.574
bicycle_ID_7,FLUSH,20,bicycle,251,425,258,425,0.6327,2026-08-04 09:41:13.641,2026-08-04 09:41:13.674
person_ID_8,FLUSH,20,person,277,412,288,412,0.5258,2026-08-04 09:41:13.842,2026-08-04 09:41:13.906
person_ID_9,FLUSH,23,person,332,412,334,412,0.5187,2026-08-04 09:41:14.174,2026-08-04 09:41:14.206
motorcycle_ID_5,FLUSH,19,motorcycle,386,419,426,418,0.6541,2026-08-04 09:41:14.442,2026-08-04 09:41:14.708
bicycle_ID_6,FLUSH,19,bicycle,248,427,435,420,0.5884,2026-08-04 09:41:13.606,2026-08-04 09:41:14.808
motorcycle_ID_6,FLUSH,23,motorcycle,390,419,484,415,0.6198,2026-08-04 09:41:14.474,2026-08-04 09:41:15.074
motorcycle_ID_7,FLUSH,24,motorcycle,15,420,30,418,0.6363,2026-08-04 09:41:14.907,2026-08-04 09:41:15.074
motorcycle_ID_8,FLUSH,25,motorcycle,26,418,26,418,0.6702,2026-08-04 09:41:15.042,2026-08-04 09:41:15.074
truck_ID_2,FLUSH,17,truck,101,444,972,362,0.7879,2026-08-04 09:41:12.113,2026-08-04 09:41:15.107
bicycle_ID_10,FLUSH,26,bicycle,493,415,493,415,0.6131,2026-08-04 09:41:15.142,2026-08-04 09:41:15.142
motorcycle_ID_4,FLUSH,22,motorcycle,530,415,719,405,0.5632,2026-08-04 09:41:14.006,2026-08-04 09:41:15.342
bicycle_ID_9,FLUSH,24,bicycle,18,419,76,422,0.5490,2026-08-04 09:41:14.942,2026-08-04 09:41:15.342
person_ID_11,FLUSH,25,person,39,413,62,413,0.5501,2026-08-04 09:41:15.175,2026-08-04 09:41:15.342
motorcycle_ID_9,FLUSH,27,motorcycle,625,408,625,408,0.5169,2026-08-04 09:41:16.042,2026-08-04 09:41:16.507
motorcycle_ID_10,FLUSH,28,motorcycle,853,393,879,393,0.5430,2026-08-04 09:41:16.474,2026-08-04 09:41:16.742
person_ID_10,FLUSH,19,person,465,406,665,395,0.5551,2026-08-04 09:41:15.007,2026-08-04 09:41:16.777
person_ID_7,FLUSH,21,person,494,405,923,381,0.5733,2026-08-04 09:41:13.806,2026-08-04 09:41:17.111
bicycle_ID_8,FLUSH,23,bicycle,385,419,808,397,0.5806,2026-08-04 09:41:14.442,2026-08-04 09:41:17.478
motorcycle_ID_11,FLUSH,23,motorcycle,797,398,839,395,0.5115,2026-08-04 09:41:17.378,2026-08-04 09:41:17.746
car_ID_6,FLUSH,21,car,975,382,976,383,0.6035,2026-08-04 09:41:17.710,2026-08-04 09:41:18.206
person_ID_13,FLUSH,30,person,683,395,910,377,0.5322,2026-08-04 09:41:16.474,2026-08-04 09:41:18.407
bicycle_ID_11,FLUSH,29,bicycle,312,414,663,410,0.6048,2026-08-04 09:41:16.607,2026-08-04 09:41:18.642
motorcycle_ID_12,FLUSH,29,motorcycle,769,400,769,400,0.5133,2026-08-04 09:41:19.374,2026-08-04 09:41:19.374
car_ID_7,FLUSH,32,car,974,386,974,386,0.5347,2026-08-04 09:41:19.142,2026-08-04 09:41:19.606
bicycle_ID_12,FLUSH,29,bicycle,834,401,834,401,0.5668,2026-08-04 09:41:19.842,2026-08-04 09:41:19.842
person_ID_12,FLUSH,24,person,107,416,845,390,0.6076,2026-08-04 09:41:15.542,2026-08-04 09:41:19.906
person_ID_14,FLUSH,29,person,879,389,892,389,0.5347,2026-08-04 09:41:20.174,2026-08-04 09:41:20.274
bicycle_ID_13,FLUSH,24,bicycle,865,398,930,391,0.5361,2026-08-04 09:41:20.074,2026-08-04 09:41:20.674
car_ID_8,FLUSH,34,car,944,449,368,501,0.8787,2026-08-04 09:41:41.007,2026-08-04 09:41:42.679
car_ID_9,FLUSH,35,car,954,439,339,492,0.8842,2026-08-04 09:41:44.079,2026-08-04 09:41:46.108
car_ID_10,FLUSH,36,car,954,442,453,498,0.8745,2026-08-04 09:41:55.615,2026-08-04 09:41:57.777
car_ID_11,FLUSH,37,car,945,447,471,487,0.8517,2026-08-04 09:42:05.018,2026-08-04 09:42:06.945
car_ID_12,FLUSH,38,car,955,437,375,492,0.8467,2026-08-04 09:42:18.081,2026-08-04 09:42:19.548
truck_ID_3,FLUSH,39,truck,148,416,148,416,0.5590,2026-08-04 09:42:20.213,2026-08-04 09:42:20.213
car_ID_13,FLUSH,39,car,23,418,171,416,0.7961,2026-08-04 09:42:19.445,2026-08-04 09:42:20.746
car_ID_15,FLUSH,41,car,26,472,26,472,0.8270,2026-08-04 09:42:20.414,2026-08-04 09:42:20.878
truck_ID_4,FLUSH,42,truck,667,404,751,401,0.6078,2026-08-04 09:42:21.678,2026-08-04 09:42:21.948
car_ID_16,FLUSH,42,car,711,402,892,394,0.6959,2026-08-04 09:42:21.814,2026-08-04 09:42:22.478
truck_ID_5,FLUSH,40,truck,713,402,918,391,0.5485,2026-08-04 09:42:21.814,2026-08-04 09:42:22.648
bus_ID_3,FLUSH,40,bus,932,391,932,391,0.5062,2026-08-04 09:42:22.746,2026-08-04 09:42:22.746
car_ID_14,FLUSH,40,car,91,414,973,382,0.7632,2026-08-04 09:42:19.878,2026-08-04 09:42:23.550
car_ID_17,FLUSH,43,car,54,459,964,402,0.7939,2026-08-04 09:42:26.681,2026-08-04 09:42:31.278
truck_ID_7,FLUSH,45,truck,160,428,160,428,0.5515,2026-08-04 09:42:31.913,2026-08-04 09:42:31.913
car_ID_18,FLUSH,44,car,23,432,168,429,0.8063,2026-08-04 09:42:30.913,2026-08-04 09:42:31.946
truck_ID_6,FLUSH,44,truck,116,429,186,428,0.5600,2026-08-04 09:42:31.713,2026-08-04 09:42:32.478
car_ID_19,FLUSH,45,car,120,430,977,383,0.8168,2026-08-04 09:42:31.746,2026-08-04 09:42:36.217
car_ID_20,FLUSH,46,car,958,444,415,495,0.8584,2026-08-04 09:43:23.819,2026-08-04 09:43:25.916
car_ID_21,FLUSH,47,car,940,448,383,501,0.8861,2026-08-04 09:43:28.781,2026-08-04 09:43:30.520
bicycle_ID_15,FLUSH,51,bicycle,508,422,598,419,0.5926,2026-08-04 09:43:50.253,2026-08-04 09:43:50.821
motorcycle_ID_14,FLUSH,51,motorcycle,498,421,604,418,0.6145,2026-08-04 09:43:50.222,2026-08-04 09:43:50.853
car_ID_22,FLUSH,50,car,957,448,380,502,0.8688,2026-08-04 09:43:48.850,2026-08-04 09:43:51.453
bicycle_ID_14,FLUSH,48,bicycle,10,424,805,402,0.6208,2026-08-04 09:43:46.985,2026-08-04 09:43:52.318
person_ID_15,FLUSH,49,person,28,408,926,389,0.6362,2026-08-04 09:43:47.317,2026-08-04 09:43:53.285
motorcycle_ID_15,FLUSH,49,motorcycle,831,392,967,389,0.5311,2026-08-04 09:43:52.518,2026-08-04 09:43:53.685
truck_ID_8,FLUSH,54,truck,165,445,165,445,0.5418,2026-08-04 09:43:53.950,2026-08-04 09:43:53.950
motorcycle_ID_13,FLUSH,48,motorcycle,395,426,962,400,0.5869,2026-08-04 09:43:49.550,2026-08-04 09:43:54.118
motorcycle_ID_17,FLUSH,54,motorcycle,186,417,186,417,0.6702,2026-08-04 09:43:54.522,2026-08-04 09:43:54.522
