display_id,kind,track_id,label,start_x,start_y,end_x,end_y,avg_confidence,first_timestamp,last_timestamp
car_ID_3,FLUSH,3,car,572,12,572,12,0.6559,2026-07-28 22:27:17.839,2026-07-28 22:27:18.046
car_ID_2,FLUSH,2,car,462,16,462,16,0.6880,2026-07-28 22:27:17.839,2026-07-28 22:27:18.308
car_ID_1,FLUSH,1,car,409,46,413,45,0.5791,2026-07-28 22:27:17.839,2026-07-28 22:27:18.449
car_ID_5,FLUSH,7,car,448,18,448,18,0.5490,2026-07-28 22:27:19.196,2026-07-28 22:27:19.196
car_ID_4,FLUSH,6,car,508,22,551,17,0.5596,2026-07-28 22:27:18.856,2026-07-28 22:27:19.394
car_ID_6,FLUSH,16,car,441,37,545,15,0.6560,2026-07-28 22:27:42.534,2026-07-28 22:27:43.667
person_ID_1,FLUSH,26,person,152,458,237,616,0.5798,2026-07-28 22:28:16.730,2026-07-28 22:28:17.471
car_ID_12,FLUSH,51,car,721,306,725,305,0.5561,2026-07-28 22:28:18.939,2026-07-28 22:28:19.053
car_ID_7,FLUSH,33,car,758,421,625,412,0.7370,2026-07-28 22:28:17.858,2026-07-28 22:28:19.159
car_ID_8,FLUSH,41,car,750,378,750,373,0.6562,2026-07-28 22:28:18.335,2026-07-28 22:28:19.159
car_ID_9,FLUSH,39,car,697,391,708,382,0.5294,2026-07-28 22:28:18.569,2026-07-28 22:28:19.191
car_ID_15,FLUSH,55,car,723,330,723,330,0.5276,2026-07-28 22:28:19.300,2026-07-28 22:28:19.400
car_ID_11,FLUSH,49,car,765,331,763,342,0.6019,2026-07-28 22:28:18.871,2026-07-28 22:28:19.497
car_ID_14,FLUSH,54,car,510,352,510,352,0.5267,2026-07-28 22:28:19.260,2026-07-28 22:28:19.497
bus_ID_1,FLUSH,43,bus,836,367,810,339,0.6504,2026-07-28 22:28:18.637,2026-07-28 22:28:19.591
car_ID_10,FLUSH,48,car,614,364,537,379,0.7870,2026-07-28 22:28:18.871,2026-07-28 22:28:19.591
car_ID_16,FLUSH,56,car,548,340,548,340,0.5169,2026-07-28 22:28:19.639,2026-07-28 22:28:19.770
person_ID_2,FLUSH,40,person,318,604,234,369,0.6653,2026-07-28 22:28:18.836,2026-07-28 22:28:19.867
truck_ID_1,FLUSH,43,truck,774,349,769,351,0.5668,2026-07-28 22:28:20.202,2026-07-28 22:28:20.268
car_ID_18,FLUSH,61,car,715,373,715,373,0.5140,2026-07-28 22:28:20.202,2026-07-28 22:28:20.315
car_ID_13,FLUSH,53,car,1012,361,872,362,0.6774,2026-07-28 22:28:19.127,2026-07-28 22:28:20.463
